"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",1.01,"0.976",1.17,"0.621"
"Coronary Heart Disease",1.57,"0.274",1.53,"0.257"
"Stroke",1.56,"0.31",1.82,"0.137"
"Asthma",2.64,"<0.001",3.76,"<0.001"
"Skin Cancer",2.48,"0.012",1.67,"0.122"
"Other Cancer",1.29,"0.401",1.5,"0.136"
"COPD",1.88,"0.042",2.74,"<0.001"
"Depressive Disorder",2.11,"0.004",6.28,"<0.001"
"Kidney Disease",1.53,"0.317",1.46,"0.315"
"Diabetes",1.46,"0.103",1.27,"0.289"
"Arthritis",1.6,"0.01",2.05,"<0.001"
"BMI Above 25",1.33,"0.156",1.21,"0.317"
"Fair or Poor General Health",0.96,"0.891",1.54,"0.103"
"14+ Days Poor Physical Health",2.01,"0.003",2.81,"<0.001"
"14+ Days Poor Mental Health",2.38,"<0.001",4.36,"<0.001"
"Current Smoker",1.82,"<0.001",3.66,"<0.001"
"Heavy Drinker",1.11,"0.648",1.68,"0.035"
