"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.15,0.4469,1.96,0.0017
"coronary_heart_disease",1.37,0.1499,1.79,0.0147
"stroke",1.33,0.2577,1.51,0.1515
"asthma",0.85,0.2757,1.19,0.275
"skin_cancer",1.17,0.274,1.14,0.4469
"other_cancer",1.31,0.0688,1.35,0.0909
"copd",1.27,0.2313,2.5,0
"depressive_disorder",1.94,0,3.39,0
"kidney_disease",1.62,0.0385,2.24,8e-04
"diabetes_bin",0.92,0.4469,0.9,0.4731
"arthritis",1.12,0.128,1.47,0
"bmi_above_25",1,0.9706,1.04,0.3218
"fair_or_poor_general_health",1.24,0.0954,1.73,0
"i4_days_poor_physical_health",1.14,0.3702,1.92,0
"i4_days_poor_mental_health",1.96,3e-04,3.36,0
"current_smoker",1.31,0,1.57,0
"heavy_drinker",1.75,0,1.93,0
