"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",0.96,0.8017,1.08,0.7404
"coronary_heart_disease",1.16,0.3476,1.39,0.0827
"stroke",1.19,0.3638,1.49,0.0827
"asthma",1.2,0.1044,1.53,0
"skin_cancer",1.1,0.3638,1.18,0.2581
"other_cancer",0.91,0.3638,1.18,0.2141
"copd",1.19,0.239,1.77,0
"depressive_disorder",1.77,0,2.96,0
"kidney_disease",1.08,0.6872,1.04,0.832
"diabetes_bin",1.12,0.2691,1.33,0.0129
"arthritis",1.21,3e-04,1.54,0
"bmi_above_25",1.05,0.0827,1.05,0.1434
"fair_or_poor_general_health",1.23,0.0306,1.72,0
"i4_days_poor_physical_health",1.35,0.0061,1.93,0
"i4_days_poor_mental_health",1.81,0,2.75,0
"current_smoker",1.22,0,1.53,0
"heavy_drinker",1.15,0.1549,1.43,0
