"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"heart_attack",1.03,0.8606,1.19,0.363
"coronary_heart_disease",1.25,0.2791,1.04,0.8953
"stroke",1.17,0.476,1.72,0.0093
"asthma",1.33,0.0058,1.84,0
"skin_cancer",0.99,0.8963,1.21,0.1765
"other_cancer",1.17,0.1692,1.36,0.0093
"copd",1.56,9e-04,2.35,0
"depressive_disorder",1.82,0,3.24,0
"kidney_disease",0.94,0.8441,1.28,0.4179
"diabetes_bin",1.13,0.2361,1.13,0.239
"arthritis",1.1,0.0959,1.52,0
"bmi_above_25",0.98,0.476,1.02,0.476
"fair_or_poor_general_health",1.27,0.019,1.49,0
"i4_days_poor_physical_health",1.28,0.0359,1.81,0
"i4_days_poor_mental_health",1.34,0.0395,2.24,0
"current_smoker",1.29,0,1.69,0
"heavy_drinker",1.26,0.0153,1.33,0.0051
