"Outcome","1 - 2 ACEs","FDR","3 or more ACEs","FDR_3plus"
"Heart Attack",12062976615.72,"<0.001",11.95,"0.071"
"Coronary Heart Disease",3263981117.51,"<0.001",5051860922.77,"<0.001"
"Stroke",121.59,"<0.001",254.22,"<0.001"
"Asthma",3.42,"0.178",1.99,"0.479"
"Skin Cancer",0,"<0.001",0,"<0.001"
"Other Cancer",0,"<0.001",0,"<0.001"
"COPD",0,"<0.001",0,"<0.001"
"Depressive Disorder",0.74,"0.802",1.86,"0.532"
"Kidney Disease",2.3586936476615e+19,"<0.001",2121686321.43,"<0.001"
"Diabetes",684205252.98,"<0.001",1619592280.67,"<0.001"
"Arthritis",4.2,"0.065",4.96,"0.041"
"BMI Above 25",1.04,"0.904",1.36,"0.479"
"Fair or Poor General Health",2197468.16,"<0.001",11.14,"0.111"
"14+ Days Poor Physical Health",0,"<0.001",17206495987.41,"<0.001"
"14+ Days Poor Mental Health",0.6,"0.802",2.06,"0.669"
"Current Smoker",0.74,"0.744",1.32,"0.719"
"Heavy Drinker",1.43,"0.719",0.82,"0.802"
